"no","file","local","original_in_file","download_url"
"1","0c68009d-f_topPage_btn.png","/images/makeshop/0c68009d-f_topPage_btn.png","https://gigaplus.makeshop.jp/makun17060/img/f_topPage_btn.png","https://gigaplus.makeshop.jp/makun17060/img/f_topPage_btn.png"
"2","b0e0fc23-f_tit_goriyou.png","/images/makeshop/b0e0fc23-f_tit_goriyou.png","https://gigaplus.makeshop.jp/makun17060/img/f_tit_goriyou.png","https://gigaplus.makeshop.jp/makun17060/img/f_tit_goriyou.png"
"3","547dd617-f_guide01.png","/images/makeshop/547dd617-f_guide01.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide01.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide01.png"
"4","2f3d258b-f_guide01_img01.png","/images/makeshop/2f3d258b-f_guide01_img01.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide01_img01.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide01_img01.png"
"5","58b24dfb-f_guide04.png","/images/makeshop/58b24dfb-f_guide04.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide04.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide04.png"
"6","4ee55021-f_guide03.png","/images/makeshop/4ee55021-f_guide03.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide03.png","https://gigaplus.makeshop.jp/makun17060/img/f_guide03.png"
"7","4cb893fa-ap_logo-0000.jpg","/images/makeshop/4cb893fa-ap_logo-0000.jpg","https://gigaplus.makeshop.jp/makun17060/logo/ap_logo-0000.jpg","https://gigaplus.makeshop.jp/makun17060/logo/ap_logo-0000.jpg"
"8","85e604e2-B10_20170331.jpg300.jpg","/images/makeshop/85e604e2-B10_20170331.jpg300.jpg","https://gigaplus.makeshop.jp/makun17060/logo/B10_20170331.jpg300.jpg","https://gigaplus.makeshop.jp/makun17060/logo/B10_20170331.jpg300.jpg"
"9","5ff553f6-card_visa.png","/images/makeshop/5ff553f6-card_visa.png","https://gigaplus.makeshop.jp/makun17060/img/card_visa.png","https://gigaplus.makeshop.jp/makun17060/img/card_visa.png"
"10","f64164df-card_master.png","/images/makeshop/f64164df-card_master.png","https://gigaplus.makeshop.jp/makun17060/img/card_master.png","https://gigaplus.makeshop.jp/makun17060/img/card_master.png"
"11","2bc7b57e-card_jcb.png","/images/makeshop/2bc7b57e-card_jcb.png","https://gigaplus.makeshop.jp/makun17060/img/card_jcb.png","https://gigaplus.makeshop.jp/makun17060/img/card_jcb.png"
"12","b33f5570-card_amex.png","/images/makeshop/b33f5570-card_amex.png","https://gigaplus.makeshop.jp/makun17060/img/card_amex.png","https://gigaplus.makeshop.jp/makun17060/img/card_amex.png"
"13","079e5892-card_dinersclab.jpg","/images/makeshop/079e5892-card_dinersclab.jpg","https://gigaplus.makeshop.jp/makun17060/img/card_dinersclab.jpg","https://gigaplus.makeshop.jp/makun17060/img/card_dinersclab.jpg"
